"name","year","id","type__001","type__002","type__003","rate","story","director__001","director__002","actor__001","actor__002","actor__003","actor__004"
"亡命娇娃","1979","4891780","动作","","","0","四个汪洋大盗，凌、洪、卢及谭到夜总会寻欢，结识了重义气的舞女程思，回洒店门前，被警察伏击，原来四人劫得价值一千万的钻石。凌机智逃脱，而卢及谭二人则被捕。凌利用程之义气，找寻华及由大陆偷渡来港的卢三妹。后知卢三妹被迫为倡，程与华将卢三妹赎出，后到监狱探望卢，卢将钻石所在处告诉了三妹。但此事却被洪知道，更抢先一步前往监狱接三妹……","林国翔","","杨泽霖","马敏儿","黄元申",""
"扫黄奇趣录","1979","5167336","剧情","","","0","","羅馬","","張瑛","劉一帆","林偉圖","元秋"
"麻疯怪拳","1979","2356838","动作","喜剧","","4.8","鐵橋三(劉家勇 飾)發覺林縣官與鎮南醫局主持孟平(湯錦棠 飾)勾結販毒，被追殺，幸得漁家女采嬌(惠英紅 飾)所救。采嬌乾爹醉公公(黃蝦 飾)介紹鐵到歐陽洪的雜貨店送貨，因而認識酒樓伙計老鼠仔(岑潛波 飾)。林與孟查知鐵下落，欲加害鐵，反而使歐陽洪無辜被害。鐵逃入海幢寺，得玄光大師傳授五郎八卦棍，遂與老鼠仔往找孟平報仇……","罗棋","","刘家勇","惠英红","汤锦棠","王清河"
"各师各法","1979","5181644","喜剧","","","0","村族大王与两名手下到香港贾氏古董店找寻北京人头骨化石,此事引发起一班喜欢寻宝的中外人仕加入争夺,由于传闻北京人头骨就存放于此店之中,有人欲收购此店,又有人在四处发掘,到底北京人头骨最后落于谁手中呢?","徐大川","","郑则仕","林子祥","缪骞人","唐菁"
"伦文叙智斗柳先开","1979","4325942","喜剧","","","6.4","","王风","","顾冠忠","梁天","屠龙",""
"猪肉荣","1979","3758817","动作","喜剧","","0","讲述猪肉荣（吴明才饰）与卖鱼灿（韩国材饰）见义勇为，对地方恶霸打抱不平，后来被武胜堂的人盯上，阿荣和阿灿被打的够呛，后来投奔黄飞鸿的徒弟，拜凌师傅（白彪饰）为师。在阿荣，阿灿他们练功的时候，发现私藏的鸦片，拿去报官，而武胜堂发现自己的鸦片不见找到猪肉荣他们，武胜堂的头头武仁胜把凌师傅打伤，后来阿荣与阿灿联手最终打败了武仁胜。","陆柏生","","吴明才","李海生","白彪","韩国材"
"戆居仔与牛咁眼","1979","10827150","喜剧","动作","","0","","甘志辉","","元彪 / 谭炳文 / 关海山","","",""
"差人大佬搏命仔","1979","1493530","动作","剧情","","6.7","志刚（刘永）、志强（李修贤）自幼在贫民区长大，张母（南红）替人做苦工，志刚替人擦皮鞋，不惜艰辛供志强读书。两兄弟长大成人，志强考上军校、志刚则被黑社会头子钱老三（谷峰）收纳门下，成为钱乾犯罪勾当的马前卒，不仅得罪钱的对头王守仁（约翰逊），更成为王亟欲杀死的目标。一次，志刚被王手下暗杀，得交际花艳芬（周丽娟）相救，二人共赋同居。志强军校毕业，被派肃清黑社会势力，劝志刚自首，志刚不允，志强决定公事公办。艳芬被王奸杀，志刚誓要报仇，志强派兵追捕，结果……","华山","","刘永","李修贤","周丽娟","南红"
"风水奇谭","1979","3041697","恐怖","","","0","","王风","","顾冠忠","张瑛","卢宛茵",""
"盲拳鬼手","1979","24298631","动作","","","0","","金宝","","何宗道","袁小田","林建明",""
"汇峰号黄金大风暴","1979","2172641","动作","剧情","","0","《黄金祸》是由邝伟执导的动作片，何宗道、韩国材、高飞参加演出。\n《黄金祸》讲述了四个玩的要好的伴侣找到好几箱黄金，有人想要据为己有，有人认为这是不义之财应该放回去，他们不知道如何选择的故事。","桂治洪","","何宗道","韦烈","高飞","曹达华"
"出猫","1979","26757796","","","","0","","韦文","","余子明","廖安丽","陈宝洋","麦大成"
"懵仔傻妹妙侦探","1979","5087542","惊悚","","","0","","吴回","杜平","米雪","李道洪","乔宏","任达华"
"铁拳","1979","22992134","武侠","","","0","陈观泰饰演的捕头被脱狱的江洋大盗刘家荣报复全家被杀，陈观泰被砍去了大拇指无法再用兵器，于是打造了一只铁手开始复仇……\n《铁拳》是麦嘉的最低潮时期。首先，他帮人拍片已被剥夺创作自由，只能依书照拍，而《铁拳》又是张彻式的阳刚型功夫片，讲究硬桥硬马和血腥惨烈，跟麦嘉起初的诙谐打斗作风简直格格不入。另一残酷之事在于，麦嘉似乎想尽最大努力给《铁拳》打上自己的烙印，于是加入孟飞这个颇有喜剧效果的浪子角色，企图与陈观泰扮演的悲情捕快成为“最佳搭档”，成为了商业模式制作下的一部影片。","麦嘉","","陈观泰","孟飞","刘家荣",""
"十二潭腿","1979","3758878","动作","剧情","","0","","杜鲁波","","梁小龙","谷峰","李海生","韩国材"
